BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
20:23:51:A6:2A:10, 2025-04-13 01:41:51, 2025-04-13 02:37:00,6,195, OPN, ,   ,-62,425,0,   0.  0.  0.  0,10, Amity-wifi, 
26:23:51:A6:2A:10, 2025-04-13 01:41:43, 2025-04-13 02:37:02,6,195, OPN, ,   ,-63,429,0,   0.  0.  0.  0,11, Amity-Guest, 
E2:44:89:D4:FA:6C, 2025-04-13 01:41:43, 2025-04-13 02:37:02,6,195, WPA2, CCMP, PSK,-62,1087,0,   0.  0.  0.  0,0, , 
20:23:51:A6:25:84, 2025-04-13 01:41:49, 2025-04-13 02:36:43,6,195, OPN, ,   ,-62,367,0,   0.  0.  0.  0,10, Amity-wifi, 
26:23:51:A6:25:CC, 2025-04-13 01:42:18, 2025-04-13 02:36:43,6,195, OPN, ,   ,-62,150,0,   0.  0.  0.  0,11, Amity-Guest, 
DE:44:89:D4:FA:6C, 2025-04-13 01:41:43, 2025-04-13 02:37:02,6,195, OPN, ,   ,-62,1064,0,   0.  0.  0.  0,11, Amity-Guest, 
D8:44:89:D4:FB:34, 2025-04-13 01:41:43, 2025-04-13 02:37:04,1,195, OPN, ,   ,-59,1219,0,   0.  0.  0.  0,10, Amity-wifi, 
D8:44:89:D4:F5:B2, 2025-04-13 01:41:55, 2025-04-13 02:37:01,11,195, OPN, ,   ,-60,944,0,   0.  0.  0.  0,10, Amity-wifi, 
DE:44:89:D4:FB:34, 2025-04-13 01:41:43, 2025-04-13 02:37:04,1,195, OPN, ,   ,-59,1148,0,   0.  0.  0.  0,11, Amity-Guest, 
E2:44:89:D4:FB:34, 2025-04-13 01:41:43, 2025-04-13 02:37:04,1,195, WPA2, CCMP, PSK,-58,1175,0,   0.  0.  0.  0,0, , 
DE:44:89:D4:F5:B2, 2025-04-13 01:41:55, 2025-04-13 02:37:01,11,195, OPN, ,   ,-59,1025,0,   0.  0.  0.  0,11, Amity-Guest, 
E6:44:89:D4:F5:B2, 2025-04-13 01:41:48, 2025-04-13 02:36:58,11,195, OPN, ,   ,-59,918,0,   0.  0.  0.  0,11, Amity-event, 
E6:44:89:D4:FB:34, 2025-04-13 01:41:43, 2025-04-13 02:37:02,1,195, OPN, ,   ,-59,1192,0,   0.  0.  0.  0,11, Amity-event, 
D8:44:89:D4:FA:8E, 2025-04-13 01:41:49, 2025-04-13 02:37:01,11,195, OPN, ,   ,-54,1554,0,   0.  0.  0.  0,10, Amity-wifi, 
E6:44:89:D4:FA:8E, 2025-04-13 01:41:49, 2025-04-13 02:37:04,11,195, OPN, ,   ,-53,1665,0,   0.  0.  0.  0,11, Amity-event, 
DE:44:89:D4:FA:8E, 2025-04-13 01:41:49, 2025-04-13 02:37:04,11,195, OPN, ,   ,-53,1534,0,   0.  0.  0.  0,11, Amity-Guest, 
E2:44:89:D4:FA:8E, 2025-04-13 01:41:56, 2025-04-13 02:37:01,11,195, WPA2, CCMP, PSK,-52,1508,0,   0.  0.  0.  0,0, , 
20:23:51:A6:2B:E8, 2025-04-13 01:41:43, 2025-04-13 02:37:02,6,195, OPN, ,   ,-48,1794,1328,  10.  2.106. 17,10, Amity-wifi, 
26:23:51:A6:2B:E8, 2025-04-13 01:41:43, 2025-04-13 02:37:02,6,195, OPN, ,   ,-36,1795,0,   0.  0.  0.  0,11, Amity-Guest, 
2A:23:51:A6:2B:E8, 2025-04-13 01:41:44, 2025-04-13 02:37:00,6,195, WPA2, CCMP, PSK,-47,1742,0,   0.  0.  0.  0,0, , 
E2:44:89:D4:F5:B2, 2025-04-13 01:41:55, 2025-04-13 02:36:59,11,195, WPA2, CCMP, PSK,-44,950,0,   0.  0.  0.  0,0, , 
2E:23:51:A6:2B:E8, 2025-04-13 01:41:43, 2025-04-13 02:37:02,6,195, OPN, ,   ,-59,1768,0,   0.  0.  0.  0,11, Amity-event, 
,,,,,,,,,,,,,,
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,
44:8C:00:45:92:79, 2025-04-13 01:42:40, 2025-04-13 02:35:44,-80,101, 40:AE:30:56:31:8E,,,,,,,,,
C4:3D:1A:9D:52:E2, 2025-04-13 01:46:13, 2025-04-13 02:35:33,-22,626, D8:44:89:D4:FA:6C,Amity-wifi,,,,,,,,
DC:B7:2E:C5:19:D8, 2025-04-13 01:42:24, 2025-04-13 02:35:33,-76,31, 40:AE:30:56:30:90,,,,,,,,,
0A:E8:45:95:28:29, 2025-04-13 02:35:01, 2025-04-13 02:35:01,-78,2, (not associated) ,,,,,,,,,
6E:D0:4A:4A:53:72, 2025-04-13 02:30:43, 2025-04-13 02:34:45,-82,2, (not associated) ,iQOO Z7 Pro 5G,,,,,,,,
4E:AD:DB:04:A6:21, 2025-04-13 02:34:49, 2025-04-13 02:34:49,-84,1, (not associated) ,,,,,,,,,
44:16:FA:E5:98:96, 2025-04-13 02:34:32, 2025-04-13 02:34:32,-76,2, (not associated) ,,,,,,,,,
52:E4:BC:22:BE:2B, 2025-04-13 02:25:34, 2025-04-13 02:34:08,-68,5, (not associated) ,iQOO Z7 Pro 5G,,,,,,,,
1A:06:6D:AE:C2:04, 2025-04-13 02:33:56, 2025-04-13 02:33:56,-78,1, (not associated) ,,,,,,,,,
20:CD:6E:7E:3D:67, 2025-04-13 02:14:24, 2025-04-13 02:33:24,-76,17, (not associated) ,,,,,,,,,
DC:B7:2E:7A:46:AC, 2025-04-13 02:18:39, 2025-04-13 02:33:08,-86,2, D8:44:89:D5:03:F6,Amity-wifi,,,,,,,,
1E:43:CD:8B:F7:11, 2025-04-13 02:33:01, 2025-04-13 02:33:01,-72,1, (not associated) ,,,,,,,,,
8A:F5:C7:57:F1:F4, 2025-04-13 02:33:01, 2025-04-13 02:33:01,-76,1, (not associated) ,,,,,,,,,
6A:93:80:64:D9:83, 2025-04-13 01:41:54, 2025-04-13 02:31:47,-62,26, (not associated) ,,,,,,,,,
32:74:50:7C:85:BE, 2025-04-13 02:09:20, 2025-04-13 02:31:00,-80,2, (not associated) ,,,,,,,,,
